

 nb subcarrier : 1, subcarrier index0

Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 82.089180 , average_magnitude : 80.481773 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.636192 , average_magnitude : 80.068848 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 83.983994 , average_magnitude : 80.264603 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 81.258720 , average_magnitude : 80.311935 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 83.934601 , average_magnitude : 80.476601 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 76.592216 , average_magnitude : 80.307716 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 81.464775 , average_magnitude : 80.355927 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 79.671684 , average_magnitude : 80.328552 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 85.393486 , average_magnitude : 80.523361 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 77.223907 , average_magnitude : 80.401161 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.319405 , average_magnitude : 80.291092 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 80.429207 , average_magnitude : 80.295853 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 85.110054 , average_magnitude : 80.456329 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.332657 , average_magnitude : 80.162025 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 84.121872 , average_magnitude : 80.285767 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 78.343674 , average_magnitude : 80.226921 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 80.014114 , average_magnitude : 80.220657 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 76.835663 , average_magnitude : 80.123947 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 79.888268 , average_magnitude : 80.117401 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 79.075432 , average_magnitude : 80.089241 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 81.924416 , average_magnitude : 80.137535 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.458900 , average_magnitude : 79.966293 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 85.052193 , average_magnitude : 80.093445 
Decode NSSS - fr

 nb subcarrier : 2, subcarrier index1

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.983597 , average_magnitude : 70.983597 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 66.416183 , average_magnitude : 68.699890 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 74.754448 , average_magnitude : 70.718079 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.547829 , average_magnitude : 72.425514 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.014206 , average_magnitude : 71.943253 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.129768 , average_magnitude : 72.974335 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.398735 , average_magnitude : 73.034966 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 80.590843 , average_magnitude : 73.979446 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.604012 , average_magnitude : 73.715508 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 70.800476 , average_magnitude : 73.424004 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.294945 , average_magnitude : 73.412270 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 67.630951 , average_magnitude : 72.930489 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.647003 , average_magnitude : 73.139450 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 68.030571 , average_magnitude : 72.774529 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 75.691231 , average_magnitude : 72.968979 
